@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
10293,'2024/02/26 17:13:23:104',8,0.600244,0.034123,0.686009,0.784127,0.641001,0.620288,0.720759,0.677102,0.586469,0.53572,0.555691,0.516936,0.417171,0.306973,0.31569,0.319287,0.302435,0.337161,0.378137,0.370423,0.284934,0.220354,0.296449,0.30436,0.252535,0.253371,0.243375,0.418206,0.507282,0,0,0,0,1
10294,'2024/02/26 17:13:23:116',8,0.585388,0.032866,0.69766,0.774231,0.620837,0.575949,0.688047,0.689516,0.546079,0.493109,0.563865,0.503699,0.368798,0.324864,0.314399,0.320544,0.308597,0.319635,0.369223,0.361092,0.277271,0.208164,0.281414,0.291788,0.237142,0.239735,0.23364,0.421695,0.526846,0,0,0,0,1
10295,'2024/02/26 17:13:23:128',8,0.581155,0.034748,0.669483,0.762678,0.612994,0.5308,0.656726,0.661462,0.485564,0.466146,0.536626,0.456898,0.3386,0.323111,0.293884,0.297314,0.291057,0.290675,0.347661,0.337665,0.247025,0.198738,0.253374,0.272504,0.212357,0.221291,0.225011,0.419154,0.494825,0,0,0,0,1
10296,'2024/02/26 17:13:23:139',8,0.580477,0.034519,0.640879,0.761759,0.609462,0.519714,0.615019,0.63025,0.424511,0.405143,0.511326,0.399718,0.337968,0.285875,0.283711,0.311248,0.299882,0.270278,0.331121,0.325367,0.234733,0.179692,0.21943,0.261753,0.186048,0.208893,0.220619,0,0,0.380335,0.494311,0,0,1
10297,'2024/02/26 17:13:23:151',8,0.578169,0.03214,0.66912,0.76056,0.6137,0.520665,0.577786,0.596697,0.387265,0.351429,0.477828,0.373848,0.329918,0.284661,0.323127,0.327434,0.30693,0.277482,0.321419,0.314693,0.231609,0.181261,0.194938,0.25585,0.17508,0.2047,0.214111,0.394446,0.538275,0,0,0,0,1
10298,'2024/02/26 17:13:23:162',8,0.563332,0.029925,0.669739,0.758111,0.613958,0.561057,0.569811,0.572614,0.444937,0.402712,0.460978,0.407778,0.345429,0.329868,0.301459,0.350081,0.289308,0.274197,0.318399,0.308401,0.230343,0.179883,0.188681,0.251503,0.176886,0.198427,0.207228,0,0,0,0,0,0,1
10299,'2024/02/26 17:13:23:174',8,0.589503,0.036467,0.609233,0.74493,0.59178,0.574321,0.555683,0.571294,0.504943,0.471653,0.510104,0.44559,0.385266,0.329346,0.326823,0.317577,0.292208,0.299665,0.309682,0.30564,0.236586,0.196933,0.206633,0.240178,0.183272,0.193389,0.206265,0.397866,0.56335,0,0,0,0,1
10300,'2024/02/26 17:13:23:185',8,0.700513,0.080545,0.540751,0.708655,0.576492,0.621172,0.671495,0.652871,0.632984,0.553183,0.656446,0.738203,0.655997,0.580799,0.528413,0.517338,0.516796,0.428699,0.420091,0.390214,0.441521,0.340295,0.374133,0.374897,0.331445,0.327059,0.309327,0,0,0,0,0,0,1
10301,'2024/02/26 17:13:23:197',8,0.739582,0.074762,0.646733,0.679688,0.670319,0.794268,0.84217,0.783121,0.758487,0.679626,0.72973,0.841846,0.733872,0.669153,0.629858,0.611033,0.60943,0.541665,0.521464,0.494209,0.542433,0.437091,0.479762,0.478145,0.433738,0.429712,0.410596,0,0,0,0,0,0,1
10302,'2024/02/26 17:13:23:209',8,0.755115,0.058679,0.763317,0.764872,0.723103,0.888715,0.884377,0.825288,0.74555,0.720534,0.700928,0.850108,0.677395,0.654272,0.654133,0.573156,0.583194,0.561036,0.545821,0.531189,0.546321,0.442083,0.498875,0.491358,0.453047,0.444764,0.424757,0,0,0,0,0,0,1
10303,'2024/02/26 17:13:23:221',8,0.754961,0.050705,0.779811,0.818427,0.786241,0.917148,0.895067,0.800489,0.747852,0.714087,0.686458,0.841085,0.567652,0.643806,0.657437,0.461863,0.557003,0.551473,0.554532,0.54893,0.538399,0.430227,0.498216,0.495459,0.449699,0.446715,0.42698,0.409746,0.782313,0,0,0,0,1
10304,'2024/02/26 17:13:23:232',8,0.743844,0.050923,0.762986,0.829186,0.77695,0.919733,0.89021,0.805192,0.750235,0.736655,0.670977,0.833646,0.560206,0.639082,0.660818,0.454265,0.533844,0.545466,0.556073,0.550638,0.530767,0.42851,0.496135,0.490321,0.448817,0.442858,0.422524,0.413235,0.707772,0,0,0,0,1
10305,'2024/02/26 17:13:23:244',8,0.744353,0.051099,0.765006,0.82661,0.781472,0.906361,0.879436,0.796296,0.755469,0.723712,0.663121,0.826484,0.540799,0.638976,0.658709,0.453883,0.515974,0.540209,0.543092,0.535905,0.524243,0.423899,0.487063,0.480406,0.440217,0.433231,0.412907,0.414292,0.671878,0,0,0,0,1
10306,'2024/02/26 17:13:23:255',8,0.747071,0.049911,0.768082,0.820785,0.787081,0.910888,0.874768,0.794573,0.74586,0.716491,0.664135,0.816765,0.547074,0.64033,0.658551,0.45708,0.508904,0.531592,0.545446,0.534505,0.514238,0.424578,0.484624,0.475908,0.438487,0.429947,0.409681,0.430844,0.647985,0,0,0,0,1
10307,'2024/02/26 17:13:23:267',8,0.736531,0.047595,0.771244,0.811746,0.791515,0.918191,0.869092,0.792753,0.745194,0.710389,0.648413,0.803517,0.552461,0.621139,0.653183,0.432705,0.512871,0.518811,0.551015,0.53826,0.502644,0.420221,0.481224,0.475691,0.433728,0.428406,0.408424,0,0,0,0,0,0,1
10308,'2024/02/26 17:13:23:279',8,0.724008,0.046149,0.779174,0.798066,0.788039,0.911264,0.833138,0.789768,0.747958,0.721483,0.617039,0.786202,0.556882,0.57,0.644872,0.422854,0.509164,0.509044,0.543423,0.527469,0.485851,0.413574,0.468477,0.460969,0.421817,0.414354,0.394142,0,0,0,0,0,0,1
10309,'2024/02/26 17:13:23:290',8,0.702055,0.044291,0.782261,0.800985,0.755622,0.90024,0.799864,0.778394,0.709345,0.731236,0.589616,0.754146,0.552401,0.492682,0.622218,0.409433,0.506056,0.485626,0.525405,0.512825,0.453379,0.399829,0.455588,0.439288,0.411103,0.396317,0.375599,0,0,0,0,0,0,1
10310,'2024/02/26 17:13:23:302',8,0.672592,0.043181,0.742348,0.796093,0.689794,0.877717,0.78742,0.763532,0.671219,0.67994,0.572739,0.701885,0.542847,0.463846,0.583246,0.385768,0.471053,0.435494,0.500706,0.491277,0.406535,0.366206,0.429583,0.416698,0.383577,0.371723,0.35161,0.435293,0.744602,0,0,0,0,1
10311,'2024/02/26 17:13:23:314',8,0.645493,0.04133,0.663493,0.786229,0.691553,0.845579,0.750402,0.754269,0.646741,0.617575,0.507872,0.633189,0.521648,0.455695,0.535631,0.356341,0.419925,0.372276,0.472764,0.461576,0.356491,0.322301,0.397743,0.38632,0.351049,0.340988,0.321353,0,0,0,0,0,0,1
10312,'2024/02/26 17:13:23:325',8,0.626583,0.04125,0.62175,0.766394,0.68542,0.815665,0.702596,0.74567,0.578593,0.580166,0.451844,0.608226,0.445796,0.4405,0.47778,0.326839,0.360311,0.338333,0.441065,0.435802,0.320608,0.292977,0.372488,0.359672,0.326067,0.314743,0.296733,0,0,0,0,0,0,1
10313,'2024/02/26 17:13:23:337',8,0.617524,0.042554,0.64465,0.732443,0.604573,0.801032,0.66456,0.722737,0.506034,0.488696,0.392622,0.576417,0.384481,0.407439,0.39715,0.277382,0.325464,0.30993,0.423196,0.41777,0.294518,0.27552,0.353163,0.34205,0.306785,0.297053,0.279537,0,0,0,0,0,0,1
10314,'2024/02/26 17:13:23:348',8,0.607194,0.040756,0.656026,0.72467,0.601276,0.793416,0.654476,0.693454,0.482464,0.436235,0.384962,0.532522,0.414282,0.410393,0.329896,0.281713,0.311743,0.286499,0.416066,0.40604,0.272907,0.250834,0.3388,0.331906,0.292412,0.28565,0.269177,0,0,0,0,0,0,1
10315,'2024/02/26 17:13:23:360',8,0.595719,0.040757,0.602053,0.728499,0.613382,0.782465,0.638005,0.651441,0.487598,0.410347,0.371338,0.551034,0.434179,0.359312,0.307028,0.330217,0.290951,0.297301,0.404089,0.390426,0.271185,0.243913,0.324737,0.320382,0.278722,0.272557,0.258298,0,0,0,0,0,0,1
10316,'2024/02/26 17:13:23:372',8,0.569915,0.041654,0.570441,0.725161,0.608875,0.769447,0.638353,0.601695,0.500812,0.430584,0.379244,0.544855,0.428292,0.323834,0.29934,0.319187,0.299694,0.311922,0.388388,0.377818,0.270832,0.242589,0.310724,0.306305,0.264547,0.258767,0.248904,0.433365,0.567216,0,0,0,0,1
10317,'2024/02/26 17:13:23:383',8,0.540243,0.043014,0.561265,0.716851,0.593956,0.735643,0.635702,0.545261,0.510194,0.452801,0.40969,0.53688,0.431552,0.312927,0.294057,0.303981,0.294267,0.294251,0.356506,0.350532,0.250224,0.21116,0.278225,0.277803,0.22932,0.230951,0.232635,0,0,0,0,0,0,1
